zip_code,population_2021,,,,
90011,"109,511",,,,
90650,"103,427",,,,
91331,"102,553",,,,
94565,"100,700",,,,
90044,"100,225",,,,
92336,"98,896",,,,
92335,"97,358",,,,
90805,"96,840",,,,
90250,"96,730",,,,
90201,"96,605",,,,
90280,"93,207",,,,
91342,"92,764",,,,
92683,"91,267",,,,
92503,"90,256",,,,
91911,"88,589",,,,
93722,"88,116",,,,
92345,"87,994",,,,
93307,"87,133",,,,
92376,"86,826",,,,
92804,"86,503",,,,
95076,"85,739",,,,
92154,"85,024",,,,
94112,"84,477",,,,
93033,"84,188",,,,
95823,"83,021",,,,
93550,"82,580",,,,
91710,"82,192",,,,
92592,"82,090",,,,
91744,"81,156",,,,
92509,"80,036",,,,
95035,"79,769",,,,
94533,"79,665",,,,
92704,"79,641",,,,
93727,"79,596",,,,
93535,"79,522",,,,
90706,"79,070",,,,
93257,"78,754",,,,
93274,"78,369",,,,
91709,"78,333",,,,
91335,"78,205",,,,
92126,"78,097",,,,
94544,"77,692",,,,
92563,"76,795",,,,
91910,"76,291",,,,
90003,"75,190",,,,
92880,"74,933",,,,
93306,"74,518",,,,
95630,"73,815",,,,
92805,"73,736",,,,
91706,"73,652",,,,
92553,"73,632",,,,
93536,"73,417",,,,
92105,"73,085",,,,
93065,"72,991",,,,
94536,"72,744",,,,
90255,"72,488",,,,
95747,"72,208",,,,
94509,"71,669",,,,
91766,"71,380",,,,
95123,"71,118",,,,
92021,"71,006",,,,
94110,"70,859",,,,
94587,"70,828",,,,
92882,"70,257",,,,
95687,"69,825",,,,
94568,"69,818",,,,
91730,"69,787",,,,
90631,"69,601",,,,
94541,"69,294",,,,
90037,"68,885",,,,
92407,"68,662",,,,
95624,"68,434",,,,
91402,"68,076",,,,
95020,"67,851",,,,
92114,"67,745",,,,
93230,"67,486",,,,
90262,"67,210",,,,
94080,"66,652",,,,
92630,"66,621",,,,
94538,"66,474",,,,
94558,"66,345",,,,
93906,"66,223",,,,
94513,"66,087",,,,
95206,"65,966",,,,
90026,"65,921",,,,
91977,"65,722",,,,
92801,"65,662",,,,
95758,"65,416",,,,
90022,"65,110",,,,
94806,"65,072",,,,
94015,"64,754",,,,
92677,"64,608",,,,
91343,"64,519",,,,
92703,"64,387",,,,
92404,"64,146",,,,
92562,"63,968",,,,
93905,"63,949",,,,
95608,"63,730",,,,
94501,"63,588",,,,
92201,"63,325",,,,
95127,"63,103",,,,
90640,"62,941",,,,
93309,"62,804",,,,
90731,"62,647",,,,
92627,"62,575",,,,
90660,"62,383",,,,
95014,"62,185",,,,
95828,"61,730",,,,
91762,"61,690",,,,
91702,"61,684",,,,
92115,"61,450",,,,
93291,"61,418",,,,
93313,"61,245",,,,
90019,"61,061",,,,
92392,"61,014",,,,
95111,"60,687",,,,
92647,"60,592",,,,
95051,"60,582",,,,
92707,"60,478",,,,
92620,"60,344",,,,
91761,"60,342",,,,
92223,"60,328",,,,
92020,"60,222",,,,
94122,"60,144",,,,
92346,"60,133",,,,
92071,"59,826",,,,
93458,"59,814",,,,
94087,"59,771",,,,
92507,"59,767",,,,
91732,"59,749",,,,
91770,"59,685",,,,
95670,"59,685",,,,
92570,"59,667",,,,
90042,"59,658",,,,
90004,"59,621",,,,
95355,"59,597",,,,
92530,"58,927",,,,
92571,"58,773",,,,
95112,"58,489",,,,
92057,"58,444",,,,
94591,"58,373",,,,
91950,"58,349",,,,
90745,"58,327",,,,
90001,"58,245",,,,
92504,"58,173",,,,
93030,"58,019",,,,
92324,"57,931",,,,
93312,"57,625",,,,
92130,"57,197",,,,
92708,"57,139",,,,
90006,"57,136",,,,
90744,"57,030",,,,
92027,"56,878",,,,
90813,"56,420",,,,
91764,"56,317",,,,
93063,"56,198",,,,
93436,"56,165",,,,
94109,"56,114",,,,
92646,"55,939",,,,
95023,"55,905",,,,
91405,"55,751",,,,
93215,"55,487",,,,
91786,"55,405",,,,
95376,"55,314",,,,
92117,"55,195",,,,
95350,"55,097",,,,
92399,"55,016",,,,
93117,"54,915",,,,
90066,"54,913",,,,
93308,"54,857",,,,
91745,"54,853",,,,
92780,"54,840",,,,
92584,"54,837",,,,
93551,"54,808",,,,
93277,"54,649",,,,
91344,"54,465",,,,
91406,"54,404",,,,
90002,"54,384",,,,
92618,"54,368",,,,
91304,"54,264",,,,
92557,"54,225",,,,
95122,"54,100",,,,
95648,"54,074",,,,
92056,"54,045",,,,
91801,"53,976",,,,
90723,"53,938",,,,
94539,"53,762",,,,
92129,"53,742",,,,
91913,"53,725",,,,
92840,"53,681",,,,
93003,"53,549",,,,
95125,"53,478",,,,
90034,"53,321",,,,
92078,"53,247",,,,
92833,"53,188",,,,
92656,"53,169",,,,
92870,"53,126",,,,
90063,"52,954",,,,
94601,"52,950",,,,
92505,"52,807",,,,
95616,"52,779",,,,
91605,"52,661",,,,
95124,"52,442",,,,
92544,"52,364",,,,
95037,"52,321",,,,
95116,"52,245",,,,
95207,"52,154",,,,
95757,"52,105",,,,
92026,"51,953",,,,
92234,"51,836",,,,
93638,"51,669",,,,
90047,"51,494",,,,
90220,"51,480",,,,
92113,"51,461",,,,
90018,"51,388",,,,
92127,"50,852",,,,
92024,"50,840",,,,
92025,"50,831",,,,
92886,"50,764",,,,
92028,"50,661",,,,
90221,"50,660",,,,
90024,"50,611",,,,
91767,"50,563",,,,
90630,"50,543",,,,
92626,"50,389",,,,
92128,"50,161",,,,
94550,"50,119",,,,
90703,"49,989",,,,
92243,"49,880",,,,
92084,"49,759",,,,
93304,"49,647",,,,
95240,"49,623",,,,
92111,"49,351",,,,
91306,"49,260",,,,
